"","name.x","name_match","id_match","X1860.1864","X1864.1866","X1866.1868","X1868.1871","X1871.1875","X1875.1879","X1879.1883","X1883.1884","X1884.1886","X1886.1887","X1887.1888","X1888.1891","X1891.1894","X1894.1897","X1897.1901","X1901.1905","X1905.1909","X1909.1913","X1913.1917","X1917.1918","X1918.1922","name.y","achternaam","voorletters","voorna(a)m(en)","roepnaam","prepositie","geslacht","partij(en)/fractie(s)","begin periode","einde periode","year","month","day","re","dugobo","fogobo","duprbo","foprbo","dush","fosh","cash","misc","debt","ta11","tl11","nw11","ta0","tl0","nw0","function","yod","placeofd","yob","aod","polparty","poldir","activityst","activityend","beginyr","endyr","tenure","w_deflated","w_deflated2","harnas2","harnas5"
"111","Jan Loeff","Johannes Alouisius Loeff","00835",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,"Johannes Alouisius Loeff","Loeff","J.A.","Johannes Alouisius","Jan",NA,"m","Bahlmanniaan ('Centrum') ;Rooms-Katholieken;Algemeene Bond (RKSP)","1896-05-05","1920-01-13","1920","01","13",37502.08,14236,76,69074,0,88250,0,5091.78,8783.25,-34450.62,214511.7,-34450.6,86544.37,107255.85,-20711.47,86544.38,"2e kamerlid, minister",1921,"zh",1858,63,"Rooms-Katholieken","conservatief","05-05-1896","13-01-1920",1896,1920,24,53429.01959863,53429.0134250322,1,1
"112","Willem Hendrik Bogaardt","Willem Hendrik Bogaardt","00150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,"Willem Hendrik Bogaardt","Bogaardt","W.H.","Willem Hendrik",NA,NA,"m","Algemeene Bond (RKSP)","1906-02-13","1918-11-13","1918","11","13",48000,12975,11192,15993,0,38735,4400,1719,12791,-38991,31852.69,-22704.75,9147.94,15936.18,-12542.68,3393.5,"2e kamerlid",1918,"nb",1862,56,"Algemeene Bond (RKSP)","conservatief","13-02-1906","13-11-1918",1906,1918,12,2148.24173461723,5791.0671854352,1,1
"113","Jan Gerrit Scheurer","Jan Gerrit Scheurer","01194",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Jan Gerrit Scheurer","Scheurer","J.G.","Jan Gerrit",NA,NA,"m","ARP","1911-02-28","1928-06-19","1928","06","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Jan van den Tempel","Jan Tempel","01347",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"Jan Tempel","Tempel","J.","Jan","Jan","van den","m","SDAP","1915-11-10","1939-08-08","1939","08","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Arie de Zeeuw","Arie Bastiaan Zeeuw","01596",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Arie Bastiaan Zeeuw","Zeeuw","A.B.","Arie Bastiaan","Arie","de","m","SDAP","1918-01-15","1919-10-31","1919","10","31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Frederik Bos","Frederik Bos","00176",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Frederik Bos","Bos","F.","Frederik",NA,NA,"m","Plattelandersbond;Neutrale fractie","1918-09-17","1919-09-15","1919","09","15",1700676.4,0,0,307574,0,141781,0,1000,16890,-706584.52,1208595.72,-708843.38,857041,1559403.44,-708843.38,850558.06,"2e kamerlid",1931,"ov",1866,65,"Plattelandersbond;Neutrale fractie","neutral","17-09-1918","15-09-1919",1918,1919,1,638310.427372892,643175.619294103,0,0
"117","Jan Heemskerk Bzn.","Jan Heemskerk","00538",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jan Heemskerk","Heemskerk","J.","Jan",NA,NA,"m","Thorbeckiaan","1849-02-13","1872-09-28","1872","09","28",0,0,0,2072,0,3425,0,2593,788,-6724,8877,-6929,1948,8877,-6929,1948,"2e kamerlid",1880,"zh",1811,69,"Thorbeckiaan","liberal","13-02-1849","28-09-1872",1849,1872,23,1755.66116871106,1755.66116871106,0,0
"118","Jacob Dirks","Jacob Dirks","00315",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jacob Dirks","Dirks","J.","Jacob",NA,NA,"m","conservatief","1849-02-13","1866-09-30","1866","09","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Marinus Bichon van IJsselmonde","Marinus Bichon van IJsselmonde","00112",0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Marinus Bichon van IJsselmonde","Bichon van IJsselmonde","M.","Marinus",NA,NA,"m","antirevolutionair","1866-11-19","1883-09-29","1883","09","29",187260.01,99694.59,90675.2,6107.98,0,25746.31,8441,9636.2,13166.52,-3372.67,440730.69,-3372.67,437757.53,440730.69,-2973.16,437757.53,"2e kamerlid",1889,"zh",1815,74,"antirevolutionair","conservatief","19-11-1866","29-09-1883",1866,1883,17,469724.691057231,469724.691057231,0,0
"120","Theo van Lynden van Sandenburg","Constantijn Theodoor Lynden van Sandenburg","00857",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Constantijn Theodoor Lynden van Sandenburg","Lynden van Sandenburg","C.Th.","Constantijn Theodoor","Theo","graaf van","m","conservatief (protestants)","1866-08-07","1874-08-26","1874","08","26",731250,0,5532,9249.1,3528,33266.3,3003,2066,78214.4,-209056.36,840801.3,-114700.37,726100.92,840801.3,-114700.37,726100.92,"1e kamerlid, 2e kamerlid, minister",1885,"ut",1826,59,"conservatief (protestants)","conservatief","07-08-1866","07-11-1885",1866,1885,19,748925.515443808,748925.515443808,1,1
"121","Johannes Tak van Poortvliet","Johannes Dirk Poel","01041",0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,"Johannes Dirk Poel","Poel","J.D.","Johannes Dirk",NA,"van der","m","conservatief","1853-07-12","1864-09-18","1864","09","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Herman Jacob Dijckmeester ","Herman Jacob Dijckmeester","00360",0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,"Herman Jacob Dijckmeester","Dijckmeester","H.J.","Herman Jacob",NA,NA,"m","liberaal;Liberale Unie","1877-09-17","1891-11-08","1891","11","08",13000,0,8993,17060,8994,11635,3175,0,5215,-6398.11,68082.49,6398.11,61684.38,87695.99,-9311.8,78384.19,"2e kamerlid",1891,"zh",1837,54,"liberaal;Liberale Unie","liberal","17-09-1877","08-11-1891",1877,1891,14,84325.4770832689,66359.871449659,1,1
"123","Frederik Willem Jacob van Aylva van Pellandt","Frederik Willem Jacob Aylva baron van Pallandt","00046",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Frederik Willem Jacob Aylva baron van Pallandt","Aylva baron van Pallandt","F.W.J.","Frederik Willem Jacob",NA,"van","m","antirevolutionair","1884-11-17","1888-03-26","1888","03","26",342886.71,0,0,42897.51,0,478.82,0,6050,34020,-57631.76,378051.85,-57631.76,320420.09,378051.85,-57631.76,320420.09,"2e kamerlid",1906,"ge",1826,80,"antirevolutionair","conservatief","17-11-1884","26-03-1888",1884,1888,4,326870.964314817,326870.964314817,0,0
"124","Henri Dani�l Guyot","Henri Dani�l Guyot","00498",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,"Henri Daniël Guyot","Guyot","H.D.","Henri Daniël",NA,NA,"m","oud- of vrije liberalen","1889-11-19","1897-09-20","1897","09","20",0,4000,91355,61022,66718,64827,9918,4822,12932,-374,158012.15,-374.95,157887.16,158012.15,-374.95,157637.66,"2e kamerlid",1912,"zh",1836,76,"oud- of vrije liberalen","liberal","19-11-1889","20-09-1897",1889,1897,8,158794.220267715,159045.550806095,0,0
"125","Theodorus Lebu�nus Maria Hubertus Borret","Theodorus Lebu�nus Maria Hubertus Borret","00169",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,"Theodorus Lebuïnus Maria Hubertus Borret","Borret","Th.L.M.H.","Theodorus Lebuïnus Maria Hubertus",NA,NA,"m","Schaepmaniaan","1888-05-01","1897-09-20","1897","09","20",0,38910,0,46649.75,0,298.32,0,1132.59,2088.14,-178155.07,7656.09,-93699.12,-86069.21,7656.09,-93699.12,-86043.03,"2e kamerlid",1914,"zh",1846,68,"Schaepmaniaan","conservatief","01-05-1888","20-09-1897",1888,1897,9,-82563.4216901823,-82588.5429624091,0,0
"126","Jan Hendrik Jacob Quarles van Ufford","Jan Hendrik Jacob Quarles van Ufford","01070",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Jan Hendrik Jacob Quarles van Ufford","Quarles van Ufford","J.H.J.","Jan Hendrik Jacob",NA,NA,"m","Vrij-AR","1897-02-16","1897-09-20","1897","09","20",149150,1555,5145,50223,2362,54373,0,100,33103,-70754.81,269133,-70754.81,198378.58,267148.39,-70732.2,196416.19,"2e kamerlid",1917,"zh",1855,62,"Vrij-AR","conservatief","16-02-1897","20-09-1897",1897,1897,0,143006.39490348,144435.168770311,0,0
"127","Schelto van Citters","Schelto Citters","00256",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Schelto Citters","Citters","S.","Schelto","Schelto","van","m","ARP","1907-03-06","1909-07-08","1909","07","08",432550,183427,9731,76843,9042.9,178081.5,31059,32870,84519,-139267.38,1067531.44,-139267.38,928264.06,1067531.44,-139197.38,928334.06,"1e kamerlid, 2e kamerlid",1942,"ge",1865,77,"ARP","conservatief","17-09-1929","12-03-1942",1929,1942,13,576640.043110913,576596.562208125,1,1
"128","Schelto van Citters","Schelto Citters","00256",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Schelto Citters","Citters","S.","Schelto","Schelto","van","m","ARP","1907-03-06","1909-07-08","1909","07","08",432550,183427,9731,76843,9042.9,178081.5,31059,32870,84519,-139267.38,1067531.44,-139267.38,928264.06,1067531.44,-139197.38,928334.06,"1e kamerlid, 2e kamerlid",1942,"ge",1865,77,"ARP","conservatief","17-09-1929","12-03-1942",1929,1942,13,576640.043110913,576596.562208125,1,1
"129","Anthon Gerrit Aemile van Rappard ","Anthon Gerrit �mile Rappard","01082",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Anthon Gerrit Æmile Rappard","Rappard","A.G.Æ.","Anthon Gerrit Æmile",NA,"ridder van","m","Vrij-Liberalen;Vrijheidsbond","1918-04-24","1935-08-18","1935","08","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Henri ter Hall","Hendrik Johannes Hall","00514",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Hendrik Johannes Hall","Hall","H.J.","Hendrik Johannes","Henri","ter","m","Neutrale Partij;Neutrale fractie;Vrijheidsbond","1918-09-17","1925-09-14","1925","09","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Wieger Hendrikus Idzerda","Wieger Hendrikus Idzerda","00625",1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wieger Hendrikus Idzerda","Idzerda","W.H.","Wieger Hendrikus",NA,NA,"m","Thorbeckiaan;liberaal","1858-09-20","1881-09-17","1881","09","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Menso Johannes Pijnappel","Menso Johannes Pijnappel","01068",0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Menso Johannes Pijnappel","Pijnappel","M.J.","Menso Johannes",NA,NA,"m","'pragmatisch' liberaal;conservatief-liberaal","1866-11-19","1901-09-16","1901","09","16",428000,323269,307537,276133,283049,279452,12000,7514,36029,0,1927600.96,0,1927601.96,1927398.96,0,1927298.96,"1e kamerlid, 2e kamerlid",1906,"nh",1830,76,"conservatief-liberaal","conservatief","19-11-1866","16-09-1901",1866,1901,35,1966100.40768088,1966409.50784431,0,1
"133","Aloysius Franciscus Xaverius Luyben","Aloysius Franciscus Xaverius Luyben","00851",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Aloysius Franciscus Xaverius Luyben","Luyben","A.F.X.","Aloysius Franciscus Xaverius",NA,NA,"m","conservatief (katholiek)","1859-10-31","1880-06-06","1880","06","06",89950,16417,0,3291,0,64713,0,3173,8256,-2581.16,105802.8,-2581.16,103221.64,105802.8,-2581.16,103221.65,"2e kamerlid, minister",1902,"nb",1818,84,"conservatief (katholiek)","conservatief","31-10-1859","06-06-1880",1859,1880,21,112294.88599977,112294.875120765,0,0
"134","Isa�c Lambertus Cremer van den Berch van Heemstede","Isa�c Lambertus Cremer van den Berch van Heemstede","00088",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Isaäc Lambertus Cremer van den Berch van Heemstede","Cremer van den Berch van Heemstede","I.L.","Isaäc Lambertus",NA,NA,"m","antirevolutionair","1873-04-22","1879-07-01","1879","07","01",1589650.43,541871.78,1569228.15,307919.1,66048.8,30681,103612,12897,69692.86,0,2145671.5,0,2145671.5,2145671.5,0,2145671.5,"2e kamerlid, gedeputeerde",1879,"zh",1811,68,"antirevolutionair","conservatief","1849","01-07-1879",1849,1879,30,1834564.95320018,1834564.95320018,1,1
"135","Alexander Schimmelpenninck van der Oye ","Alexander Schimmelpenninck van der Oye","01203",0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,"Alexander Schimmelpenninck van der Oye","Schimmelpenninck van der Oye","A.","Alexander","Alex","baron","m","antirevolutionair","1873-09-15","1888-09-30","1888","09","30",1632056.6,53987,15102,6640,0,343068.4,0,36341,38254,-21784.73,2125454.42,-21784.73,2103669.7,2125510.43,-21784.73,2103725.7,"2e kamerlid, commissaris",1918,"zh",1839,79,"antirevolutionair","conservatief","15-09-1873","30-09-1888",1873,1888,15,1331755.22231526,1331719.77173706,0,0
"136","Herman Schaepman","Hermanus Johannes Aloysius Maria Schaepman","01180",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,"Hermanus Johannes Aloysius Maria Schaepman","Schaepman","H.J.A.M.","Hermanus Johannes Aloysius Maria","Herman",NA,"m","Schaepmaniaan;Rooms-Katholieken","1880-07-15","1903-01-20","1903","01","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","Gerard Jacob Theodoor Beelaerts van Blokland","Gerard Jacob Theodoor Beelaerts van Blokland","00076",0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,"Gerard Jacob Theodoor Beelaerts van Blokland","Beelaerts van Blokland","G.J.Th.","Gerard Jacob Theodoor",NA,NA,"m","antirevolutionair;Vrij-AR","1883-09-17","1897-03-13","1897","03","13",115148,419,2,24125,32708.75,122250.25,5070,2650,9572.21,-26009,311945.73,-22440,286116.49,311945.73,-25829.43,286116.44,"2e kamerlid",1897,"zh",1843,54,"antirevolutionair;Vrij-AR","conservatief","17-09-1883","13-03-1897",1883,1897,14,331636.532131044,331636.590085864,1,1
"138","Jacob Theodoor Cremer","Jacob Theodoor Cremer","00279",0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,"Jacob Theodoor Cremer","Cremer","J.Th.","Jacob Theodoor",NA,NA,"m","liberaal;Liberale Unie;vooruitstrevende kamerclub","1884-11-17","1905-09-18","1905","09","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Carel Victor Gerritsen","Carel Victor Gerritsen","00450",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"Carel Victor Gerritsen","Gerritsen","C.V.","Carel Victor",NA,NA,"m","Radicale Bond","1893-02-28","1897-09-20","1897","09","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Wiel Nolens","Wilhelmus Hubertus Nolens","00981",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,"Wilhelmus Hubertus Nolens","Nolens","W.H.","Wilhelmus Hubertus",NA,NA,"m","Schaepmaniaan;Rooms-Katholieken;Algemeene Bond (RKSP);RKSP","1896-11-13","1931-08-26","1931","08","26",0,0,0,478,0,0,0,7579,5365,-6747.44,13423.62,-6747.44,6676.18,73423.62,-6747.44,6676.18,"2e kamerlid",1931,"zh",1860,71,"Schaepmaniaan;Rooms-Katholieken;Algemeene Bond (RKSP);RKSP","conservatief","13-11-1896","26-08-1931",1896,1931,35,5010.21095375706,5010.21095375706,1,1
"141","Andries Popke Staalman","Andries Popke Staalman","01293",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,"Andries Popke Staalman","Staalman","A.P.","Andries Popke",NA,NA,"m","fractie-Staalman (onafh. a.r.);CDP","1894-11-27","1922-06-23","1922","06","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Arie Colijn","Anthonie Colijn","00262",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Anthonie Colijn","Colijn","A.","Anthonie","Arie",NA,"m","ARP","1917-09-19","1925-09-14","1925","09","14",0,100,0,23964,0,0,0,20,1409,-160818.42,25497.18,-160818.42,-135321.24,25497.18,-160818.42,-135321.24,"2e kamerlid",1932,"nh",1870,62,"ARP","conservatief","19-09-1917","14-09-1925",1917,1925,8,-106964.939333464,-106964.939333464,0,0
"143","Abraham Staalman","Abraham Staalman","01292",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Abraham Staalman","Staalman","A.","Abraham",NA,NA,"m","M.P. (Middenstandspartij);Neutrale fractie;Vrijheidsbond;fractie-Staalman (ex-VB)","1918-09-17","1929-09-16","1929","09","16",0,0,0,0,0,0,0,0,0,-2002.69,4565.08,-2002.69,2562.39,4565.08,-2002.69,2562.39,"2e kamerlid",1935,"nh",1871,64,"M.P. (Middenstandspartij);Neutrale fractie;Vrijheidsbond;fractie-Staalman (ex-VB)","neutral","17-09-1918","16-09-1929",1918,1929,11,2085.01626339415,2085.01626339415,0,0
"144","Franciscus Johannes Jespers","Franciscus Johannes Jespers","00642",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Franciscus Johannes Jespers","Jespers","F.J.","Franciscus Johannes",NA,NA,"m","liberaal;Thorbeckiaan","1848-09-18","1866-09-18","1866","09","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","Cornelis van Foreest ","Cornelis Foreest","00416",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cornelis Foreest","Foreest","C.","Cornelis",NA,"van","m","regeringsgezinden ten tijde van Willem II;conservatief (protestants)","1848-09-18","1875-05-21","1875","05","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Franciscus Johannes Emilius van Zinnicq Bergmann","Franciscus Joannes Emilius Zinnicq Bergmann","01601",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Franciscus Joannes Emilius Zinnicq Bergmann","Zinnicq Bergmann","F.J.E.","Franciscus Joannes Emilius",NA,"van","m","conservatief (katholiek)","1866-11-19","1879-02-24","1879","02","24",179774,64092,64249,74238,335,12480,9950,4229,16623,-4002,418653.92,-4074.84,414579.08,418653.92,-4074.84,182990.495,"2e kamerlid",1879,"nb",1807,72,"conservatief (katholiek)","conservatief","19-11-1866","24-02-1879",1866,1879,13,156458.222470566,354468.170219893,1,1
"147","Frederik Willem Jacob van Aylva van Pallandt","Frederik Willem Jacob Aylva baron van Pallandt","00046",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Frederik Willem Jacob Aylva baron van Pallandt","Aylva baron van Pallandt","F.W.J.","Frederik Willem Jacob",NA,"van","m","antirevolutionair","1884-11-17","1888-03-26","1888","03","26",342886.71,0,0,42897.51,0,478.82,0,6050,34020,-57631.76,378051.85,-57631.76,320420.09,378051.85,-57631.76,320420.09,"2e kamerlid",1906,"ge",1826,80,"antirevolutionair","conservatief","17-11-1884","26-03-1888",1884,1888,4,326870.964314817,326870.964314817,0,0
"148","Willem Cornelis Johannes Josephus Cremers","Willem Cornelis Johannes Josephus Cremers","00282",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"Willem Cornelis Johannes Josephus Cremers","Cremers","W.C.J.J.","Willem Cornelis Johannes Josephus",NA,NA,"m","Schaepmaniaan","1887-09-19","1891-09-14","1891","09","14",55749.39,2843,113931,129442,315737,57937,0,3221,50641,-9441.99,734799.43,-9441.99,725357.44,734808.43,-9441.99,725366.44,"1e kamerlid, 2e kamerlid",1906,"ge",1818,88,"Rooms-Katholieken","conservatief","19-09-1887","22-07-1904",1887,1904,17,739969.918004847,739960.736811873,1,1
"149","Hendrik Johannes Bool","Hendrik Johannes Bool","00160",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Hendrik Johannes Bool","Bool","H.J.","Hendrik Johannes",NA,NA,"m","oud- of vrije liberalen","1888-05-01","1897-09-20","1897","09","20",0,0,1708,4996,1557,10063.34,0,820,5097,-1139.02,24247,-745.47,11357.49,12123.78,-766.29,11357.47,"2e kamerlid",1898,"ut",1828,70,"oud- of vrije liberalen","liberal","01-05-1888","20-09-1897",1888,1897,9,12762.8891569698,12762.9116318504,1,1
"150","Hendrik Adriaan van Beuningen","Hendrik Adriaan Beuningen","00107",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Hendrik Adriaan Beuningen","Beuningen","H.A.","Hendrik Adriaan",NA,"van","m","Liberale Unie","1891-09-15","1894-03-19","1894","03","19",935050,427976,277213,682859,196897,870406.5,289885,1708,58860,-20528,3745579.94,-20528,1862155.42,1872984.97,-10634.55,1862350.43,"2e kamerlid",1908,"ut",1841,67,"Liberale Unie","liberal","15-09-1891","19-03-1894",1891,1894,3,1909502.94921219,1909303.0017887,0,0
"151","Adrien Jonathan Rethaan Macar�","Adrien Jonathan Rethaan Macar�","01101",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"Adrien Jonathan Rethaan Macaré","Rethaan Macaré","A.J.","Adrien Jonathan",NA,NA,"m","liberaal","1896-11-10","1900-03-31","1900","03","31",21794,4006.68,4632,46151.5,15468,22127.5,1032,393,9946,-1250.95,116011.1,-1250.95,113903,116011.1,-2108.1,113902,"2e kamerlid",1932,"zh",1842,90,"liberaal","liberal","10-11-1896","31-03-1900",1896,1900,4,90034.0591023272,90034.8495542868,0,0
"152","Fran�ois Isidore Joseph Janssen","Franciscus Isidorus Josephus Janssen","00638",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,"Franciscus Isidorus Josephus Janssen","Janssen","F.I.J.","Franciscus Isidorus Josephus","François",NA,"m","Rooms-Katholieken;Algemeene Bond (RKSP)","1902-04-29","1918-09-16","1918","09","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","Johan Heinrich Blum","Johan Heinrich Blum","00135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Johan Heinrich Blum","Blum","J.H.","Johan Heinrich",NA,NA,"m","ARP","1909-09-21","1913-09-15","1913","09","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Willem Otto Adriaan Koster","Willem Otto Adriaan Koster","00742",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"Willem Otto Adriaan Koster","Koster","W.O.A.","Willem Otto Adriaan",NA,NA,"m","VDB","1915-11-09","1918-09-16","1918","09","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","Jan Hendrik Joseph Beckers","Jan Hendrik Joseph Beckers","00072",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,"Jan Hendrik Joseph Beckers","Beckers","J.H.J.","Jan Hendrik Joseph","Jean",NA,"m","Rooms-Katholieken;Algemeene Bond (RKSP)","1903-10-09","1918-09-16","1918","09","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","Gijsbertus Martinus van der Linden","Gijsbertus Martinus Linden","00828",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Gijsbertus Martinus Linden","Linden","G.M.","Gijsbertus Martinus",NA,"van der","m","Thorbeckiaan;liberaal;Liberale Unie","1849-02-13","1888-03-26","1888","03","26",39300,901,109549.52,51908,13342,37747,13409,0,10301,-1303.87,277130.31,-1303.87,275826.44,277471.05,-1311.27,276159.77,"2e kamerlid",1888,"zh",1812,76,"Thorbeckiaan;liberaal;Liberale Unie","liberal","13-02-1849","26-03-1888",1849,1888,39,296152.730116324,295795.268240071,1,1
"157","Willem Groen van Prinsterer","Guillaume Groen van Prinsterer","00485",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Guillaume Groen van Prinsterer","Groen van Prinsterer","G.","Guillaume","Willem",NA,"m","antirevolutionair","1840-08-11","1865-04-06","1865","04","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
